,stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,time,year,month,day,hour
0,52674.0,101.93,38.22,2094.0,16.0,9.0,220.0,5.0,9999.0,-1.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.0,30.0,0.0,-9.3,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2017-12-31 23:00,2017.0,12.0,31.0,23.0
1,52674.0,101.93,38.22,2094.0,16.0,9.0,290.0,3.0,9999.0,-13.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.4,30.0,0.0,-11.4,9999.0,9999.0,1.0,2.0,1.0,-3.0,2018-01-01 02:00,2018.0,1.0,1.0,2.0
2,52674.0,101.93,38.22,2094.0,16.0,9.0,220.0,2.0,9999.0,-7.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.6,30.0,0.0,-14.0,9999.0,9999.0,1.0,2.0,-5.0,-2.0,2018-01-01 05:00,2018.0,1.0,1.0,5.0
3,52674.0,101.93,38.22,2094.0,16.0,0.0,180.0,1.0,9999.0,-1.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-26.3,30.0,0.0,-16.5,9999.0,9999.0,1.0,2.0,-8.0,-2.0,2018-01-01 08:00,2018.0,1.0,1.0,8.0
4,52674.0,101.93,38.22,2094.0,16.0,0.0,290.0,2.0,9999.0,14.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-23.7,30.0,0.0,-7.0,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-01 11:00,2018.0,1.0,1.0,11.0
5,52674.0,101.93,38.22,2094.0,16.0,0.0,20.0,3.0,9999.0,-19.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-23.7,30.0,0.0,-4.1,9999.0,9999.0,1.0,2.0,-5.0,0.0,2018-01-01 14:00,2018.0,1.0,1.0,14.0
6,52674.0,101.93,38.22,2094.0,16.0,2.0,40.0,4.0,9999.0,11.0,0.0,0.0,0.0,9999.0,2.0,2500.0,-22.2,30.0,0.0,-4.8,9999.0,9999.0,1.0,2.0,-4.0,0.0,2018-01-01 17:00,2018.0,1.0,1.0,17.0
7,52674.0,101.93,38.22,2094.0,16.0,0.0,160.0,3.0,9999.0,27.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-23.4,30.0,0.0,-12.0,9999.0,9999.0,1.0,2.0,-3.0,1.0,2018-01-01 20:00,2018.0,1.0,1.0,20.0
8,52674.0,101.93,38.22,2094.0,16.0,9.0,160.0,3.0,9999.0,3.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-23.4,30.0,0.0,-13.6,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-01 23:00,2018.0,1.0,1.0,23.0
9,52674.0,101.93,38.22,2094.0,16.0,9.0,340.0,1.0,9999.0,-5.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-22.1,30.0,0.0,-11.2,9999.0,9999.0,1.0,2.0,0.0,2.0,2018-01-02 02:00,2018.0,1.0,2.0,2.0
10,52674.0,101.93,38.22,2094.0,16.0,9.0,160.0,2.0,9999.0,-4.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-22.9,30.0,0.0,-13.8,9999.0,9999.0,1.0,2.0,0.0,3.0,2018-01-02 05:00,2018.0,1.0,2.0,5.0
11,52674.0,101.93,38.22,2094.0,16.0,7.0,180.0,2.0,9999.0,11.0,0.0,0.0,0.0,9999.0,7.0,2500.0,-22.8,30.0,0.0,-16.8,9999.0,9999.0,1.0,2.0,0.0,4.0,2018-01-02 08:00,2018.0,1.0,2.0,8.0
12,52674.0,101.93,38.22,2094.0,16.0,7.0,70.0,3.0,9999.0,11.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-18.0,30.0,0.0,-11.3,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-02 11:00,2018.0,1.0,2.0,11.0
13,52674.0,101.93,38.22,2094.0,16.0,7.0,70.0,6.0,9999.0,-22.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-18.7,30.0,0.0,-9.6,9999.0,9999.0,1.0,2.0,-6.0,3.0,2018-01-02 14:00,2018.0,1.0,2.0,14.0
14,52674.0,101.93,38.22,2094.0,16.0,7.0,90.0,5.0,9999.0,9.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-18.6,30.0,0.0,-10.2,9999.0,9999.0,1.0,2.0,-5.0,3.0,2018-01-02 17:00,2018.0,1.0,2.0,17.0
